,2MASS/2MASS.H,2MASS/2MASS.J,2MASS/2MASS.Ks,AKARI/FIS.N160,AKARI/FIS.N60,AKARI/FIS.WIDE-L,AKARI/FIS.WIDE-S,AKARI/IRC.L18W,AKARI/IRC.S9W,COBE/DIRBE.100m,COBE/DIRBE.12m,COBE/DIRBE.140m,COBE/DIRBE.1p25m,COBE/DIRBE.240m,COBE/DIRBE.25m,COBE/DIRBE.2p2m,COBE/DIRBE.3p5m,COBE/DIRBE.4p9m,COBE/DIRBE.60m,DENIS/DENIS.I,DENIS/DENIS.J,DENIS/DENIS.Ks,GAIA/GAIA3.G,GAIA/GAIA3.Gbp,GAIA/GAIA3.Grp,GALEX/GALEX.FUV,GALEX/GALEX.NUV,Generic/Cousins.I,Generic/Cousins.R,Generic/Johnson_UBVRIJHKL.B,Generic/Johnson_UBVRIJHKL.H,Generic/Johnson_UBVRIJHKL.I,Generic/Johnson_UBVRIJHKL.J,Generic/Johnson_UBVRIJHKL.K,Generic/Johnson_UBVRIJHKL.LI,Generic/Johnson_UBVRIJHKL.M,Generic/Johnson_UBVRIJHKL.N,Generic/Johnson_UBVRIJHKL.R,Generic/Johnson_UBVRIJHKL.U,Generic/Johnson_UBVRIJHKL.V,HST/WFPC2-WF.F170W,HST/WFPC2-WF.F255W,HST/WFPC2-WF.F336W,HST/WFPC2-WF.F439W,HST/WFPC2-WF.F502N,HST/WFPC2-WF.F555W,HST/WFPC2-WF.F814W,Herschel/PACS.blue,Herschel/PACS.green,Herschel/PACS.red,Hipparcos/Hipparcos.Hp_MvB,IRAS/IRAS.100mu,IRAS/IRAS.12mu,IRAS/IRAS.25mu,IRAS/IRAS.60mu,JCMT/SCUBA2.450GHz,JCMT/SCUBA2.850GHz,MSX/MSX.A,MSX/MSX.B1,MSX/MSX.B2,PAN-STARRS/PS1.g,PAN-STARRS/PS1.i,PAN-STARRS/PS1.r,PAN-STARRS/PS1.y,PAN-STARRS/PS1.z,Paranal/VISTA.H,Paranal/VISTA.J,Paranal/VISTA.Ks,Paranal/VISTA.Y,Paranal/VISTA.Z,SLOAN/SDSS.g,SLOAN/SDSS.i,SLOAN/SDSS.r,SLOAN/SDSS.u,SLOAN/SDSS.z,Skymapper/Skymapper.g,Skymapper/Skymapper.i,Skymapper/Skymapper.r,Skymapper/Skymapper.u,Skymapper/Skymapper.v,Skymapper/Skymapper.z,TYCHO/TYCHO.B_MvB,TYCHO/TYCHO.V_MvB,WISE/WISE.W1,WISE/WISE.W2,WISE/WISE.W3,WISE/WISE.W4
-0.5,1.154668617777745e-06,2.2436912994421005e-06,6.350077187029352e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.1576902195505717e-06,-1.0,-1.0,6.016675228938268e-07,-1.0,-1.0,-1.0,8.07082604605206e-06,2.281084205141023e-06,6.377442753468571e-07,2.7262412819480773e-05,4.531264719419438e-05,9.197923556774169e-06,0.0017943622576885978,0.0013635833788644288,8.198862648412237e-06,1.6197526302357213e-05,6.594843625955309e-05,1.164799299104775e-06,6.337877509839729e-06,2.3360948256063635e-06,6.334010517344369e-07,-1.0,-1.0,-1.0,1.3478168793128963e-05,0.00012543358979408325,2.850024470824671e-05,0.00156533437815407,0.0005456746955288666,0.00015304022616488043,6.910150020101165e-05,3.9015600761596765e-05,3.13007034142873e-05,7.972052662451066e-06,-1.0,-1.0,-1.0,3.5434344800147886e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.7484507856071455e-05,9.505724127394304e-06,1.8364715109556893e-05,4.531181143443151e-06,6.01958332442579e-06,1.1648912383057349e-06,2.1797140234260616e-06,6.423078446779265e-07,3.959956425032976e-06,5.772755833496116e-06,5.292856299762602e-05,9.690819472192393e-06,1.8449054824982593e-05,0.00012081647369080024,5.613746302579125e-06,4.084608109134443e-05,8.614169099932019e-06,1.9307445040393887e-05,0.00013014205547350264,9.531285258293333e-05,5.3367026089974315e-06,7.532364133618882e-05,3.2908512596649606e-05,-1.0,-1.0,-1.0,-1.0
-0.49,1.1491626988267242e-06,2.2269421873346395e-06,6.329625611091948e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.1418709480096073e-06,-1.0,-1.0,5.997913862708009e-07,-1.0,-1.0,-1.0,7.940086582100402e-06,2.2638001472802777e-06,6.356829493774622e-07,2.6404874622070508e-05,4.3727606262382104e-05,9.032956191007254e-06,0.001665080677814791,0.0012574136448006618,8.065204942628347e-06,1.5829799004872783e-05,6.347568220389622e-05,1.1592048499497717e-06,6.2463742594402275e-06,2.3177856899016697e-06,6.313373545761267e-07,-1.0,-1.0,-1.0,1.319068822968115e-05,0.00011989962966103018,2.7696005517912072e-05,0.0014502535390069887,0.0005106254234942232,0.00014598857532569987,6.649736973418619e-05,3.779046491458392e-05,3.0371216092932642e-05,7.842193593791912e-06,-1.0,-1.0,-1.0,3.428559404094263e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.5869702343638506e-05,9.338434769400072e-06,1.792687738544047e-05,4.478488176499119e-06,5.9368310812476225e-06,1.1592975639499943e-06,2.1638054110588614e-06,6.402234158619017e-07,3.917621890064534e-06,5.695272610690055e-06,5.106690860893953e-05,9.518615796413831e-06,1.8009515009096014e-05,0.00011553963463606217,5.539267766745494e-06,3.9517295150408374e-05,8.469870209688979e-06,1.8835403641141397e-05,0.00012437464486615314,9.138290005569283e-05,5.267967859964217e-06,7.240433659271984e-05,3.192227674769695e-05,-1.0,-1.0,-1.0,-1.0
-0.48,1.1436831640250227e-06,2.2103191284742607e-06,6.30924010693785e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.126169367275594e-06,-1.0,-1.0,5.979211282949966e-07,-1.0,-1.0,-1.0,7.811481034254594e-06,2.24664845234387e-06,6.336283109465726e-07,2.5576107184554354e-05,4.219978138497988e-05,8.871039763652173e-06,0.0015451303198191243,0.0011595883424333816,7.933739227167277e-06,1.547050855862261e-05,6.109617802844755e-05,1.1536374338950752e-06,6.156218849703311e-06,2.2996237104697046e-06,6.29280467711515e-07,-1.0,-1.0,-1.0,1.2909489234475925e-05,0.00011461045866775855,2.6914644419301765e-05,0.001343690186105691,0.0004778627065606376,0.0001392623170268931,6.399155440789324e-05,3.660380009033553e-05,2.9469788060691866e-05,7.714483249299342e-06,-1.0,-1.0,-1.0,3.3175408132510806e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.431037167235258e-05,9.174108683017115e-06,1.7499567461685344e-05,4.426409227649236e-06,5.855220384566176e-06,1.153730908051517e-06,2.1480134214056363e-06,6.381457735865627e-07,3.875740882458837e-06,5.6188326157389496e-06,4.9271305100443204e-05,9.349491687542997e-06,1.7580512164901775e-05,0.00011049373431306517,5.465784124424312e-06,3.823232673377132e-05,8.328005872321635e-06,1.8375044801763878e-05,0.00011886316455019123,8.76150672851579e-05,5.200124141439938e-06,6.959851388834352e-05,3.096589957136564e-05,-1.0,-1.0,-1.0,-1.0
-0.47,1.1382298863198457e-06,2.193821166250293e-06,6.288920460451413e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.1105845891593566e-06,-1.0,-1.0,5.960567304576686e-07,-1.0,-1.0,-1.0,7.684974317585841e-06,2.2296280954793454e-06,6.31580338277082e-07,2.4775098901233332e-05,4.072705192506727e-05,8.712116330697032e-06,0.0014338364550330756,0.0010694464422451545,7.804429346408807e-06,1.5119459487069657e-05,5.880638842963713e-05,1.1480969195280365e-06,6.067391043361938e-06,2.28160767575881e-06,6.27230368385813e-07,-1.0,-1.0,-1.0,1.2634431467064291e-05,0.00010955522041837695,2.615550560437013e-05,0.0012450094546474165,0.00044723496714808695,0.0001328464145756006,6.158033590475927e-05,3.545439823371594e-05,2.8595559144693867e-05,7.588885574642709e-06,-1.0,-1.0,-1.0,3.210245478165909e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.280459154118477e-05,9.012693046444929e-06,1.7082530094260347e-05,4.374937127740284e-06,5.774735433264918e-06,1.1481911393452735e-06,2.1323371957130034e-06,6.360748956840463e-07,3.834308533898323e-06,5.543421759254692e-06,4.753938951417637e-05,9.183391734180958e-06,1.71617921466828e-05,0.00010566864512851345,5.39328199987001e-06,3.698971286817701e-05,8.188534726514434e-06,1.7926075945458243e-05,0.00011359624232796793,8.400266319507052e-05,5.13315983222505e-06,6.690174893342766e-05,3.003846859069047e-05,-1.0,-1.0,-1.0,-1.0
-0.46,1.1328027392731915e-06,2.1774473513734717e-06,6.268666458213015e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.095115732267612e-06,-1.0,-1.0,5.941981743086218e-07,-1.0,-1.0,-1.0,7.5605319280810565e-06,2.2127380598591532e-06,6.295390096630614e-07,2.4000874975171266e-05,3.930737759027371e-05,8.55612907375305e-06,0.0013305732336182264,0.0009863796282667322,7.677239744371136e-06,1.4776460884007467e-05,5.660291279786634e-05,1.1425831760786038e-06,5.979870912545437e-06,2.263736384420694e-06,6.251870339211703e-07,-1.0,-1.0,-1.0,1.2365377786766242e-05,0.0001047235412612802,2.5417952201060575e-05,0.0011536241526147449,0.0004186008405756642,0.0001267265271371235,5.9260136779800754e-05,3.434108922487178e-05,2.7747695918247085e-05,7.465365127972601e-06,-1.0,-1.0,-1.0,3.106544882171805e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.135050501124521e-05,8.8541359852009e-06,1.667551627701794e-05,4.324064791484724e-06,5.695360645678186e-06,1.142678127207624e-06,2.1167758815793556e-06,6.340107600591338e-07,3.7933200284235986e-06,5.469026142718688e-06,4.586888409229301e-05,9.02026152782768e-06,1.675310697524457e-05,0.0001010546845423984,5.321748198258073e-06,3.57880399802427e-05,8.05141611838101e-06,1.7488211906587054e-05,0.00010856301200441742,8.053927299970482e-05,5.067063463554802e-06,6.430979041876143e-05,2.913909945385026e-05,-1.0,-1.0,-1.0,-1.0
-0.45,1.1274015970588639e-06,2.1611967418194198e-06,6.248477887496777e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0797619219502768e-06,-1.0,-1.0,5.92345441456027e-07,-1.0,-1.0,-1.0,7.4381199329595866e-06,2.1959773366170912e-06,6.27504303469525e-07,2.325249604404089e-05,3.793879533262707e-05,8.403022277769077e-06,0.0012347601370507229,0.0009098280709980654,7.552135454714072e-06,1.444132630580848e-05,5.448248006217374e-05,1.1370960734161584e-06,5.893638833968624e-06,2.2460086452226626e-06,6.231504417164127e-07,-1.0,-1.0,-1.0,1.210219417835769e-05,0.00010010550876707234,2.4701365722760388e-05,0.0010689911530201292,0.0003918284756396656,0.00012088897748654437,5.702751511425364e-05,3.32627396879806e-05,2.6925390858323897e-05,7.343887069402932e-06,-1.0,-1.0,-1.0,3.006315051249617e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.9946320127458755e-05,8.69838655503162e-06,1.6278283088080317e-05,4.2737852164778056e-06,5.617080656533352e-06,1.1371917416531635e-06,2.1013286329076693e-06,6.319533446890132e-07,3.7527706018692962e-06,5.395632055888273e-06,4.425759318228961e-05,8.860047644628655e-06,1.6354214687421997e-05,9.664259546953046e-05,5.251169703223924e-06,3.462594221131961e-05,7.916610089286467e-06,1.7061174740898642e-05,0.00010375309084207557,7.721874678968981e-05,5.001823717089069e-06,6.181855323360081e-05,2.8266935060454674e-05,-1.0,-1.0,-1.0,-1.0
-0.44,1.1220263344594972e-06,2.1450684027725728e-06,6.228354536268317e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.064522290248208e-06,-1.0,-1.0,5.90498513566234e-07,-1.0,-1.0,-1.0,7.317704961152431e-06,2.1793449247852575e-06,6.254761981321974e-07,2.2529056858300044e-05,3.661941636986905e-05,8.252741309194424e-06,0.0011458586885638204,0.0008392765408893456,7.429082090909724e-06,1.4113873666232343e-05,5.244194373305818e-05,1.1316354820463726e-06,5.808675484196922e-06,2.2284232769606356e-06,6.21120569246778e-07,-1.0,-1.0,-1.0,1.1844749679512344e-05,9.569165116850501e-05,2.4005145533867372e-05,0.0009906080614028603,0.0003667948838683246,0.0001153207212569581,5.487915937262984e-05,3.221825183740773e-05,2.6127861529899313e-05,7.224417150675377e-06,-1.0,-1.0,-1.0,2.9094363902582367e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.8590307624881096e-05,8.545394725134223e-06,1.589059354003596e-05,4.2240914822262325e-06,5.539880313935755e-06,1.1317318533315905e-06,2.0859946098586647e-06,6.299026276230402e-07,3.7126555413060275e-06,5.3232259742385005e-06,4.270340025542491e-05,8.702697627455545e-06,1.5964879189279805e-05,9.242352754592553e-05,5.181533674435481e-06,3.35020997903649e-05,7.784077363880605e-06,1.6644693540657292e-05,9.91565580219614e-05,7.403518858960299e-05,4.93742942292884e-06,5.9424111950329675e-05,2.7421144715167882e-05,-1.0,-1.0,-1.0,-1.0
-0.43,1.1166768268635952e-06,2.129061406570546e-06,6.208296193182478e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.049395975841333e-06,-1.0,-1.0,5.886573723635872e-07,-1.0,-1.0,-1.0,7.1992541939411315e-06,2.1628398312315094e-06,6.23454672157281e-07,2.1829685009672812e-05,3.5347423323415864e-05,8.105232594580795e-06,0.0010633694027551595,0.0007742508348354527,7.308045836577829e-06,1.379392513373276e-05,5.047827713581185e-05,1.1262012731080786e-06,5.724961834986258e-06,2.2109791083729127e-06,6.19097394063657e-07,-1.0,-1.0,-1.0,1.159291630995639e-05,9.147291771931678e-05,2.3328708330993375e-05,0.000918010137400207,0.00034338533401198103,0.00011000931761475768,5.281188345526183e-05,3.1206562360096504e-05,2.535434979627843e-05,7.1069217050029425e-06,-1.0,-1.0,-1.0,2.8157935251677703e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.7280798716620324e-05,8.395111361682007e-06,1.5512216433851306e-05,4.174976749188212e-06,5.463744676395747e-06,1.126298333524581e-06,2.0707729788043185e-06,6.278585869825013e-07,3.67297018448836e-06,5.251794556438778e-06,4.120426503416409e-05,8.548159968314655e-06,1.558487011291509e-05,8.838901922179993e-05,5.112827445198903e-06,3.241523746281136e-05,7.653779338338361e-06,1.6238504254555225e-05,9.476393406538115e-05,7.098294586782472e-05,4.873869557658975e-06,5.712269456522605e-05,2.6600923307808057e-05,-1.0,-1.0,-1.0,-1.0
-0.42,1.1113529502625885e-06,2.113174832648923e-06,6.188302647581093e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0343821239972085e-06,-1.0,-1.0,5.868219996302413e-07,-1.0,-1.0,-1.0,7.082735355753683e-06,2.146461070597426e-06,6.214397041212266e-07,2.1153539707990568e-05,3.4121067468336345e-05,7.960443599614434e-06,0.0009868289569373234,0.0007143144903729083,7.188993435982989e-06,1.3481307031203316e-05,4.858856882701308e-05,1.1207933183701558e-06,5.642479148696506e-06,2.193674978054706e-06,6.170808937943317e-07,-1.0,-1.0,-1.0,1.1346569002295038e-05,8.744065993079963e-05,2.2671487639344805e-05,0.0008507674508582789,0.00032149278857446196,0.00010494290129566049,5.082262193889376e-05,3.0226641333054353e-05,2.4604121054576076e-05,6.991367637089576e-06,-1.0,-1.0,-1.0,2.725275151072495e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.601618296043956e-05,8.247488211648853e-06,1.5142926216404925e-05,4.126434257824787e-06,5.388659009897327e-06,1.120891054142688e-06,2.0556629122817204e-06,6.258212009603779e-07,3.633709919308746e-06,5.181324641863895e-06,3.9758220724635734e-05,8.396384091077237e-06,1.5213962676773377e-05,8.453098064462385e-05,5.0450385200970665e-06,3.13641229734921e-05,7.525678068803913e-06,1.584234951228144e-05,9.056616117372806e-05,6.805659947995357e-05,4.8111332424169194e-06,5.491067648524136e-05,2.5805490519089063e-05,-1.0,-1.0,-1.0,-1.0
-0.41000000000000003,1.1060545812479e-06,2.0974077674864827e-06,6.168373689490746e-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0194798865199613e-06,-1.0,-1.0,5.849923772059781e-07,-1.0,-1.0,-1.0,6.968116705114795e-06,2.1302076652367577e-06,6.194312726705007e-07,2.049981060452332e-05,3.2938666090905714e-05,7.818322808569675e-06,0.000915807568081624,0.0006590657643220632,7.071892184691083e-06,1.317584973810374e-05,4.677001818711271e-05,1.1154114902284328e-06,5.561208973777361e-06,2.176509734373416e-06,6.150710461417163e-07,-1.0,-1.0,-1.0,1.1105585534470764e-05,8.358661364676641e-05,2.2032933323832985e-05,0.0007884822544631059,0.00030101737942041804,0.00010011015593824347,4.8908425498159113e-05,2.9277491174832246e-05,2.3876463495538675e-05,6.877722413322699e-06,-1.0,-1.0,-1.0,2.6377738857688273e-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.479490620122103e-05,8.102477886926969e-06,1.4782502841553576e-05,4.078457327662309e-06,5.314608785007721e-06,1.1155098877222503e-06,2.040663588947273e-06,6.237904478211091e-07,3.594870183257355e-06,5.111803248138968e-06,3.8363371350237065e-05,8.247320334525679e-06,1.485193754939136e-05,8.084167729730184e-05,4.978154572660356e-06,3.0347565601744706e-05,7.399736260034832e-06,1.5455978453625858e-05,8.655458444526901e-05,6.525095402785391e-05,4.7492097409869835e-06,5.2784574751097296e-05,2.503409005119718e-05,-1.0,-1.0,-1.0,-1.0
